,epoch,ASR,CDA
0,41,12.74,75.44
1,42,9.34,76.73
2,43,9.04,79.59
3,44,12.72,80.95
4,45,12.38,81.4
5,46,10.6,82.98
6,47,9.8,83.83
7,48,9.76,84.69
8,49,10.27,83.77
9,50,8.39,84.96
10,51,9.34,85.13
11,52,9.82,85.72
12,53,21.83,86.45
13,54,11.26,85.75
14,55,16.43,86.5
15,56,10.23,84.73
16,57,9.29,85.66
17,58,9.92,86.43
18,59,10.15,85.33
19,60,9.94,86.73
20,61,10.11,86.6
21,62,9.9,86.48
22,63,9.59,87.26
23,64,10.01,86.31
24,65,9.88,87.06
25,66,9.55,87.15
26,67,10.13,87.98
27,68,21.91,88.82
28,69,91.63,89.69
29,70,86.44,90.15
30,71,43.24,91.04
31,72,75.27,91.37
32,73,60.89,91.59
33,74,47.44,91.11
34,75,68.2,91.66
35,76,24.35,91.19
36,77,70.32,91.31
37,78,35.21,91.53
38,79,20.9,91.43
39,80,46.82,91.12
40,81,32.95,91.6
41,82,60.79,91.06
42,83,35.6,90.87
43,84,50.82,90.94
44,85,63.58,91.31
45,86,36.6,90.93
46,87,73.82,91.17
47,88,12.81,90.87
48,89,27.55,91.02
49,90,14.82,90.48
50,91,22.38,91.14
51,92,38.35,91.27
52,93,43.44,91.2
53,94,22.67,91.28
54,95,26.06,91.33
55,96,43.48,91.26
56,97,86.09,92.21
57,98,93.42,92.02
58,99,94.5,91.88
59,100,95.11,92.35
60,101,94.64,91.94
61,102,94.39,92.4
62,103,94.56,92.18
63,104,94.48,91.83
64,105,93.61,92.0
65,106,93.96,92.16
66,107,94.82,92.12
67,108,94.56,92.17
68,109,93.84,92.21
69,110,93.92,92.12
70,111,93.75,92.12
71,112,93.82,92.23
72,113,93.57,92.06
73,114,93.47,92.29
74,115,94.02,92.27
75,116,94.04,92.27
76,117,94.0,92.19
77,118,92.81,92.21
78,119,94.51,92.06
79,120,93.47,92.08
80,121,93.28,92.08
81,122,93.71,92.23
82,123,92.42,92.02
83,124,93.16,92.34
84,125,94.13,92.25
85,126,93.67,92.02
86,127,93.98,92.13
87,128,93.16,92.09
88,129,93.02,91.8
89,130,92.75,92.02
