,epoch,ASR,CDA
0,41,12.53,75.75
1,42,9.28,76.4
2,43,8.97,79.9
3,44,12.88,80.78
4,45,12.34,81.52
5,46,10.54,82.92
6,47,9.82,83.79
7,48,9.78,84.66
8,49,10.27,83.73
9,50,8.41,84.85
10,51,9.36,85.15
11,52,9.86,85.8
12,53,22.44,86.47
13,54,11.18,85.75
14,55,16.45,86.32
15,56,10.27,84.81
16,57,9.33,85.8
17,58,9.88,86.26
18,59,10.21,85.39
19,60,9.98,86.82
20,61,10.1,86.66
21,62,9.93,86.5
22,63,9.57,87.12
23,64,10.01,86.4
24,65,9.88,87.18
25,66,9.55,87.23
26,67,10.13,88.0
27,68,22.07,88.86
28,69,91.61,89.73
29,70,86.44,90.17
30,71,43.3,91.06
31,72,75.19,91.37
32,73,60.83,91.57
33,74,47.3,91.11
34,75,68.28,91.68
35,76,24.52,91.23
36,77,70.22,91.31
37,78,35.11,91.51
38,79,20.88,91.47
39,80,46.57,91.08
40,81,32.93,91.6
41,82,60.83,91.02
42,83,35.71,90.87
43,84,50.47,90.94
44,85,63.57,91.35
45,86,36.45,90.91
46,87,74.21,91.21
47,88,12.77,90.81
48,89,27.59,91.0
49,90,14.78,90.5
50,91,22.34,91.14
51,92,38.59,91.2
52,93,43.21,91.18
53,94,22.78,91.3
54,95,26.06,91.33
55,96,43.57,91.26
56,97,86.09,92.21
57,98,93.46,92.02
58,99,94.48,91.88
59,100,95.11,92.35
60,101,94.64,91.94
61,102,94.39,92.4
62,103,94.56,92.18
63,104,94.48,91.83
64,105,93.61,92.0
65,106,93.96,92.16
66,107,94.82,92.1
67,108,94.54,92.19
68,109,93.86,92.25
69,110,93.92,92.12
70,111,93.75,92.12
71,112,93.82,92.23
72,113,93.57,92.06
73,114,93.47,92.29
74,115,94.02,92.27
75,116,94.04,92.27
76,117,94.0,92.19
77,118,92.81,92.21
78,119,94.51,92.04
79,120,93.47,92.13
80,121,93.28,92.08
81,122,93.71,92.23
82,123,92.42,92.02
83,124,93.16,92.34
84,125,94.13,92.25
85,126,93.67,92.02
86,127,93.98,92.13
87,128,93.18,92.11
88,129,93.04,91.8
89,130,92.75,92.0
