,epoch,ASR,CDA
0,41,86.02,77.68
1,42,97.51,79.5
2,43,97.59,80.32
3,44,95.29,79.72
4,45,95.21,82.37
5,46,94.33,80.21
6,47,96.16,84.85
7,48,90.15,85.89
8,49,92.82,81.2
9,50,96.36,85.71
10,51,96.28,84.01
11,52,95.28,86.51
12,53,97.1,84.07
13,54,95.77,85.53
14,55,89.09,86.13
15,56,95.68,85.44
16,57,97.84,83.25
17,58,96.22,85.53
18,59,94.88,85.51
19,60,93.59,85.33
20,61,95.72,87.22
21,62,95.19,85.08
22,63,97.49,87.67
23,64,95.4,80.2
24,65,96.03,83.51
25,66,94.16,86.85
26,67,97.34,84.9
27,68,77.81,82.07
28,69,96.67,85.84
29,70,76.25,86.21
30,71,96.9,92.01
31,72,97.18,92.71
32,73,97.08,92.69
33,74,97.14,92.56
34,75,97.14,92.54
35,76,97.08,92.56
36,77,96.51,92.6
37,78,97.27,92.56
38,79,97.27,92.44
39,80,97.14,92.62
40,81,96.83,92.64
41,82,96.81,92.42
42,83,96.71,92.68
43,84,97.14,92.74
44,85,96.77,92.71
45,86,97.18,92.38
46,87,96.98,92.4
47,88,96.57,92.39
48,89,95.83,92.41
49,90,97.12,92.58
50,91,96.26,92.31
51,92,96.9,92.4
52,93,96.43,92.21
53,94,97.31,92.46
54,95,96.69,92.5
55,96,97.2,92.44
56,97,96.86,92.52
57,98,96.9,92.39
58,99,96.86,91.86
59,100,96.86,92.65
60,101,97.04,92.55
61,102,96.81,92.73
62,103,97.12,92.69
63,104,97.04,92.71
64,105,96.86,92.67
65,106,96.86,92.59
66,107,97.14,92.64
67,108,97.1,92.79
68,109,97.22,92.65
69,110,97.18,92.56
70,111,96.92,92.66
71,112,97.06,92.42
72,113,96.73,92.64
73,114,96.81,92.73
74,115,97.02,92.71
75,116,96.94,92.54
76,117,96.75,92.62
77,118,96.83,92.54
78,119,96.83,92.53
79,120,97.18,92.58
80,121,97.04,92.46
81,122,96.98,92.54
82,123,96.77,92.71
83,124,96.77,92.87
84,125,96.65,92.75
85,126,97.14,92.52
86,127,96.86,92.56
87,128,96.69,92.46
88,129,97.18,92.52
89,130,97.06,92.5
