,epoch,ASR,CDA
0,41,97.76,86.85
1,42,96.65,87.77
2,43,96.22,88.29
3,44,96.85,87.77
4,45,98.07,88.06
5,46,97.7,86.27
6,47,97.92,86.52
7,48,97.35,89.27
8,49,97.31,86.66
9,50,97.39,86.17
10,51,97.45,88.91
11,52,96.73,89.4
12,53,97.18,88.24
13,54,97.04,89.46
14,55,95.85,87.25
15,56,98.68,86.62
16,57,96.81,88.41
17,58,97.1,88.27
18,59,96.83,87.39
19,60,95.81,89.4
20,61,97.86,86.11
21,62,97.66,86.45
22,63,97.65,86.7
23,64,96.12,89.18
24,65,96.83,87.93
25,66,97.66,87.34
26,67,98.13,86.03
27,68,97.49,88.32
28,69,98.07,88.01
29,70,95.93,88.53
30,71,96.92,91.82
31,72,97.35,91.72
32,73,97.47,92.07
33,74,97.33,91.98
34,75,97.26,92.05
35,76,97.26,92.14
36,77,97.33,91.99
37,78,97.29,92.08
38,79,97.2,91.79
39,80,96.96,91.88
40,81,97.29,91.99
41,82,96.92,92.07
42,83,97.37,91.9
43,84,97.35,92.07
44,85,97.37,91.82
45,86,97.37,92.07
46,87,97.49,91.96
47,88,97.59,92.05
48,89,97.24,92.07
49,90,97.14,92.26
50,91,97.27,92.02
51,92,97.16,92.11
52,93,97.16,92.23
53,94,96.92,92.27
54,95,97.29,92.17
55,96,97.47,92.08
56,97,97.04,92.15
57,98,97.16,92.17
58,99,97.06,92.03
59,100,97.14,92.04
60,101,97.43,92.11
61,102,97.49,92.07
62,103,97.14,92.25
63,104,97.27,92.36
64,105,96.96,92.02
65,106,96.94,92.19
66,107,97.1,91.96
67,108,96.88,92.02
68,109,96.77,91.79
69,110,97.0,92.04
70,111,96.32,92.19
71,112,96.43,91.87
72,113,96.59,92.05
73,114,97.12,92.11
74,115,97.1,91.86
75,116,97.22,92.02
76,117,97.22,92.05
77,118,96.83,91.93
78,119,97.22,91.98
79,120,97.1,91.73
80,121,97.27,91.71
81,122,97.27,91.75
82,123,96.94,92.0
83,124,97.45,91.63
84,125,96.96,91.99
85,126,97.14,91.9
86,127,96.73,91.82
87,128,97.06,91.72
88,129,96.67,91.82
89,130,97.1,91.56
90,131,97.16,91.61
91,132,97.1,91.44
92,133,97.0,91.75
93,134,97.0,91.67
94,135,97.08,91.73
95,136,97.0,91.75
96,137,96.98,91.73
97,138,96.98,91.71
98,139,96.73,91.78
99,140,96.98,91.77
100,141,96.96,91.84
101,142,97.0,91.63
102,143,97.06,91.77
103,144,97.1,91.73
104,145,97.14,91.82
105,146,96.92,91.73
106,147,97.02,91.71
107,148,97.1,91.59
108,149,97.12,91.65
109,150,96.96,91.8
110,151,96.98,91.77
111,152,96.88,91.71
112,153,97.08,91.73
113,154,97.14,91.84
114,155,96.94,91.61
115,156,96.94,91.77
116,157,96.81,91.69
117,158,96.83,91.75
118,159,96.86,91.75
119,160,97.04,91.69
