,epoch,ASR,CDA
0,41,95.99,84.89
1,42,96.94,84.45
2,43,97.41,85.48
3,44,96.42,85.3
4,45,96.88,84.43
5,46,97.31,83.01
6,47,95.17,83.82
7,48,97.08,84.28
8,49,96.22,83.53
9,50,95.4,84.23
10,51,94.56,86.87
11,52,95.78,83.01
12,53,97.14,86.97
13,54,95.31,85.66
14,55,95.97,88.19
15,56,97.33,86.59
16,57,97.29,87.02
17,58,97.14,87.19
18,59,96.01,87.31
19,60,98.11,86.65
20,61,98.05,85.74
21,62,97.62,86.78
22,63,92.33,87.36
23,64,94.94,87.81
24,65,96.42,88.19
25,66,96.59,87.47
26,67,97.6,87.84
27,68,96.46,87.49
28,69,97.21,85.31
29,70,97.22,88.08
30,71,97.37,91.65
31,72,97.39,91.81
32,73,97.29,91.65
33,74,97.29,92.01
34,75,97.18,91.93
35,76,97.22,91.7
36,77,97.41,91.95
37,78,97.41,91.71
38,79,97.49,91.93
39,80,97.57,91.87
40,81,97.25,91.89
41,82,97.41,91.89
42,83,97.2,92.16
43,84,97.57,92.2
44,85,97.22,91.83
45,86,97.47,92.02
46,87,97.49,91.91
47,88,97.29,91.73
48,89,97.33,92.03
49,90,97.53,91.75
50,91,97.16,91.89
51,92,97.14,91.91
52,93,97.29,91.54
53,94,97.37,91.81
54,95,97.33,91.62
55,96,97.45,91.87
56,97,97.24,92.12
57,98,97.31,91.62
58,99,97.55,91.56
59,100,97.43,91.67
60,101,97.6,91.44
61,102,97.76,91.32
62,103,97.57,91.79
63,104,97.47,91.62
64,105,97.55,91.71
65,106,97.57,91.6
66,107,97.2,91.7
67,108,96.86,91.78
68,109,97.2,91.83
69,110,97.04,91.95
70,111,97.43,91.28
71,112,97.23,91.42
72,113,97.35,91.7
73,114,97.18,91.63
74,115,97.31,91.42
75,116,97.22,90.99
76,117,96.98,91.38
77,118,97.2,91.46
78,119,96.79,91.44
79,120,96.92,91.5
80,121,97.24,91.73
81,122,97.33,91.27
82,123,97.1,91.37
83,124,97.45,90.99
84,125,96.88,91.4
85,126,97.27,91.44
86,127,97.12,91.54
87,128,97.14,91.35
88,129,97.43,91.25
89,130,97.29,91.69
90,131,97.35,91.55
91,132,97.35,91.54
92,133,97.37,91.58
93,134,97.33,91.62
94,135,97.29,91.62
95,136,97.31,91.48
96,137,97.45,91.5
97,138,97.37,91.6
98,139,97.35,91.52
99,140,97.45,91.46
100,141,97.22,91.46
101,142,97.35,91.42
102,143,97.45,91.48
103,144,97.27,91.54
104,145,97.41,91.6
105,146,97.37,91.42
106,147,97.37,91.46
107,148,97.29,91.46
108,149,97.31,91.36
109,150,97.41,91.44
110,151,97.31,91.4
111,152,97.18,91.34
112,153,97.22,91.42
113,154,97.47,91.4
114,155,97.29,91.54
115,156,97.22,91.46
116,157,97.2,91.52
117,158,97.35,91.44
118,159,97.29,91.46
119,160,97.14,91.6
