,epoch,ASR,CDA
0,41,9.69,87.28
1,42,9.74,86.76
2,43,9.14,87.01
3,44,9.39,87.44
4,45,10.42,86.28
5,46,9.55,87.06
6,47,10.43,86.21
7,48,9.8,85.87
8,49,10.8,87.64
9,50,9.66,86.64
10,51,10.13,88.04
11,52,10.54,86.46
12,53,9.8,87.71
13,54,9.74,86.6
14,55,10.01,85.53
15,56,9.8,86.25
16,57,9.67,86.9
17,58,10.44,86.64
18,59,8.99,86.25
19,60,9.65,87.63
20,61,10.23,87.48
21,62,10.38,86.71
22,63,10.56,87.67
23,64,10.31,87.32
24,65,10.11,88.25
25,66,9.92,86.12
26,67,9.34,86.48
27,68,10.13,87.52
28,69,9.43,86.22
29,70,10.38,87.54
30,71,10.27,87.98
31,72,10.65,86.49
32,73,9.76,87.61
33,74,10.4,88.39
34,75,9.98,88.16
35,76,9.9,87.3
36,77,9.7,88.37
37,78,10.1,89.23
38,79,11.85,90.82
39,80,72.4,90.53
40,81,57.82,91.37
41,82,58.77,91.36
42,83,43.6,91.66
43,84,25.55,91.14
44,85,23.14,91.56
45,86,22.99,91.7
46,87,37.01,91.77
47,88,24.69,91.58
48,89,37.6,91.66
49,90,20.69,91.51
50,91,41.77,91.66
51,92,35.2,91.93
52,93,21.75,91.54
53,94,18.96,91.45
54,95,42.94,91.43
55,96,26.46,91.45
56,97,11.94,91.37
57,98,21.46,91.38
58,99,10.29,91.44
59,100,29.41,91.37
60,101,11.98,91.66
61,102,16.01,91.41
62,103,38.24,91.44
63,104,12.97,91.29
64,105,13.96,91.5
65,106,13.64,91.39
66,107,18.32,91.29
67,108,15.54,91.42
68,109,22.01,91.05
69,110,14.96,91.19
70,111,18.37,91.58
71,112,35.62,91.16
72,113,15.7,91.58
73,114,16.66,91.69
74,115,44.3,91.73
75,116,46.03,91.95
76,117,63.36,91.78
77,118,88.95,92.4
78,119,94.1,92.19
79,120,95.14,92.32
80,121,94.71,91.97
81,122,94.51,92.01
82,123,95.29,92.19
83,124,94.1,92.2
84,125,95.14,92.03
85,126,94.74,92.15
86,127,94.1,92.07
87,128,95.02,92.03
88,129,94.03,92.09
89,130,94.32,92.23
90,131,94.2,92.19
91,132,94.35,92.23
92,133,94.45,92.36
93,134,94.55,92.3
94,135,93.5,92.27
95,136,94.51,92.38
96,137,94.39,92.24
97,138,94.63,92.23
98,139,95.21,92.32
99,140,94.47,92.26
100,141,94.78,92.28
101,142,95.17,92.28
102,143,94.53,92.15
103,144,94.53,92.36
104,145,94.86,92.38
105,146,94.28,92.42
106,147,94.61,92.32
107,148,94.74,92.15
108,149,94.76,92.15
109,150,94.3,92.15
110,151,94.22,92.34
111,152,95.15,92.23
112,153,93.97,92.26
113,154,94.06,92.32
114,155,94.43,92.21
115,156,94.73,92.28
116,157,93.37,92.19
117,158,94.82,92.36
118,159,94.14,92.24
119,160,94.01,92.11
