,epoch,ASR,CDA
0,41,33.48,85.03
1,42,9.52,84.72
2,43,10.31,84.79
3,44,9.77,85.25
4,45,12.82,85.42
5,46,11.39,83.12
6,47,8.81,84.83
7,48,9.94,84.6
8,49,10.66,86.34
9,50,10.48,85.94
10,51,10.27,85.63
11,52,10.97,85.79
12,53,9.88,86.0
13,54,10.75,86.58
14,55,10.89,85.78
15,56,9.96,86.57
16,57,10.41,86.21
17,58,10.58,85.77
18,59,10.63,86.48
19,60,10.04,86.84
20,61,12.18,86.81
21,62,10.2,85.11
22,63,9.2,85.51
23,64,10.58,85.11
24,65,9.94,86.42
25,66,11.08,85.87
26,67,10.03,86.18
27,68,10.44,86.36
28,69,9.7,86.85
29,70,10.72,86.54
30,71,10.15,87.33
31,72,10.44,87.36
32,73,11.03,87.24
33,74,10.75,87.17
34,75,10.36,87.44
35,76,10.23,87.74
36,77,10.29,88.25
37,78,90.21,88.36
38,79,81.99,88.92
39,80,94.18,89.73
40,81,95.33,90.63
41,82,95.6,90.51
42,83,93.34,90.48
43,84,95.11,90.61
44,85,92.21,90.78
45,86,93.03,90.44
46,87,92.17,90.86
47,88,91.8,90.57
48,89,93.9,90.69
49,90,92.82,90.57
50,91,83.69,90.9
51,92,91.88,90.9
52,93,82.98,90.71
53,94,88.78,90.71
54,95,92.67,90.9
55,96,80.91,91.02
56,97,91.64,90.36
57,98,87.1,90.51
58,99,81.39,90.32
59,100,85.22,90.54
60,101,77.93,90.75
61,102,74.42,90.73
62,103,74.81,90.63
63,104,51.11,90.83
64,105,48.76,90.63
65,106,81.72,90.69
66,107,71.74,90.57
67,108,72.66,90.47
68,109,72.51,90.57
69,110,85.5,90.65
70,111,82.45,90.59
71,112,70.43,90.57
72,113,69.78,90.79
73,114,88.9,90.49
74,115,89.31,90.61
75,116,94.41,90.79
76,117,95.17,91.13
77,118,96.42,91.41
78,119,97.37,91.43
79,120,97.31,91.54
80,121,97.22,91.6
81,122,97.21,91.66
82,123,97.35,91.5
83,124,97.39,91.64
84,125,97.25,91.68
85,126,97.25,91.5
86,127,97.12,91.58
87,128,97.16,91.7
88,129,97.25,91.8
89,130,97.18,91.72
90,131,97.43,91.52
91,132,97.35,91.7
92,133,97.39,91.8
93,134,97.31,91.6
94,135,97.35,91.66
95,136,97.18,91.7
96,137,97.39,91.82
97,138,97.23,91.64
98,139,97.19,91.68
99,140,97.27,91.49
100,141,97.35,91.7
101,142,97.16,91.72
102,143,97.16,91.56
103,144,97.2,91.53
104,145,97.14,91.45
105,146,97.02,91.64
106,147,97.19,91.74
107,148,97.08,91.61
108,149,97.21,91.72
109,150,97.27,91.53
110,151,97.2,91.54
111,152,97.23,91.68
112,153,97.12,91.62
113,154,97.0,91.74
114,155,97.19,91.66
115,156,97.1,91.82
116,157,97.12,91.83
117,158,97.08,91.76
118,159,97.16,91.53
119,160,97.02,91.74
