,epoch,ASR,CDA
0,0,97.04,92.55
1,1,97.12,92.73
2,2,97.02,92.81
3,3,96.92,92.73
4,4,96.63,92.55
5,5,96.36,92.26
6,6,95.97,92.32
7,7,95.69,92.36
8,8,95.3,92.21
9,9,95.03,92.13
10,10,94.99,92.08
11,11,94.74,92.15
12,12,94.58,92.17
13,13,94.31,92.21
14,14,94.13,92.19
15,15,94.0,92.23
16,16,93.78,92.1
17,17,93.45,92.13
18,18,93.24,92.09
19,19,92.93,92.07
20,20,92.75,92.11
21,21,92.46,92.05
22,22,92.54,92.07
23,23,92.44,92.07
24,24,92.19,92.01
25,25,91.82,91.99
26,26,91.82,92.05
27,27,91.8,91.96
28,28,91.66,91.96
29,29,91.29,92.02
30,30,91.0,92.02
