,epoch,ASR,CDA
0,0,97.37,91.7
1,1,97.0,91.62
2,2,95.25,91.82
3,3,91.36,91.61
4,4,83.63,91.47
5,5,75.75,91.43
6,6,68.54,91.12
7,7,64.43,91.04
8,8,60.48,90.87
9,9,57.49,91.04
10,10,55.17,91.08
11,11,53.42,91.25
12,12,52.35,91.25
13,13,51.61,91.23
14,14,50.93,91.2
15,15,50.25,91.22
16,16,51.35,91.26
17,17,49.86,91.29
18,18,49.06,91.27
19,19,48.87,91.18
20,20,49.45,91.11
21,21,49.39,91.06
22,22,48.51,91.13
23,23,48.57,91.13
24,24,48.59,91.15
25,25,48.03,91.14
26,26,48.82,91.1
27,27,48.74,91.16
28,28,48.94,91.12
29,29,48.92,91.08
30,30,48.26,91.12
